kedeputian;direktorat;detail;belanja;anggaran
Badan Ketahanan Pangan;Pusat Distribusi dan Cadangan Pangan;Belanja Bahan;Belanja Bahan;844690000
Badan Ketahanan Pangan;Pusat Distribusi dan Cadangan Pangan;Belanja Barang Non Operasional Lainnya;Belanja Barang;1178673000
Badan Ketahanan Pangan;Pusat Distribusi dan Cadangan Pangan;Belanja Barang Persediaan Barang Konsumsi;Belanja Barang;812945000
Badan Ketahanan Pangan;Pusat Distribusi dan Cadangan Pangan;Belanja Barang untuk Bantuan Lainnya yang Memiliki Karakteristik Bantuan Pemerintah;Belanja Barang;11000000000
Badan Ketahanan Pangan;Pusat Distribusi dan Cadangan Pangan;Belanja Jasa Konsultan;Belanja Jasa;45000000
Badan Ketahanan Pangan;Pusat Distribusi dan Cadangan Pangan;Belanja Jasa Profesi;Belanja Jasa;317900000
Badan Ketahanan Pangan;Pusat Distribusi dan Cadangan Pangan;Belanja Modal Peralatan dan Mesin;Belanja Modal;465000000
Badan Ketahanan Pangan;Pusat Distribusi dan Cadangan Pangan;Belanja pengiriman surat dinas pos pusat;Belanja Jasa;14582000
Badan Ketahanan Pangan;Pusat Distribusi dan Cadangan Pangan;Belanja perjalanan biasa;Belanja Perjalanan;2992500000
Badan Ketahanan Pangan;Pusat Distribusi dan Cadangan Pangan;Belanja perjalanan biasa - luar negeri;Belanja Perjalanan;100000000
Badan Ketahanan Pangan;Pusat Distribusi dan Cadangan Pangan;Belanja Perjalanan Dinas Dalam Kota;Belanja Perjalanan;242040000
Badan Ketahanan Pangan;Pusat Distribusi dan Cadangan Pangan;Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Belanja Perjalanan;37500000
Badan Ketahanan Pangan;Pusat Distribusi dan Cadangan Pangan;Belanja Perjalanan Dinas Paket Meeting Luar Kota;Belanja Perjalanan;2442530000
Badan Ketahanan Pangan;Pusat Distribusi dan Cadangan Pangan;Belanja Sewa;Belanja Barang;518400000
Badan Ketahanan Pangan;Pusat Distribusi dan Cadangan Pangan;Honor Output Kegiatan;Belanja Pegawai;2692840000
Badan Ketahanan Pangan;Pusat Ketersediaan dan Kerawanan Pangan;Belanja Bahan;Belanja Bahan;1002684000
Badan Ketahanan Pangan;Pusat Ketersediaan dan Kerawanan Pangan;Belanja Barang Non Operasional Lainnya;Belanja Barang;1072500000
Badan Ketahanan Pangan;Pusat Ketersediaan dan Kerawanan Pangan;Belanja Barang Persediaan Barang Konsumsi;Belanja Barang;244950000
Badan Ketahanan Pangan;Pusat Ketersediaan dan Kerawanan Pangan;Belanja Biaya Pemeliharaan Peralatan dan Mesin;Belanja Jasa;6000000
Badan Ketahanan Pangan;Pusat Ketersediaan dan Kerawanan Pangan;Belanja Jasa Konsultan;Belanja Jasa;7660000000
Badan Ketahanan Pangan;Pusat Ketersediaan dan Kerawanan Pangan;Belanja Jasa Lainnya;Belanja Jasa;248000000
Badan Ketahanan Pangan;Pusat Ketersediaan dan Kerawanan Pangan;Belanja Jasa Profesi;Belanja Jasa;910100000
Badan Ketahanan Pangan;Pusat Ketersediaan dan Kerawanan Pangan;Belanja Modal Peralatan dan Mesin;Belanja Modal;165500000
Badan Ketahanan Pangan;Pusat Ketersediaan dan Kerawanan Pangan;Belanja pengiriman surat dinas pos pusat;Belanja Jasa;3000000
Badan Ketahanan Pangan;Pusat Ketersediaan dan Kerawanan Pangan;Belanja perjalanan biasa;Belanja Perjalanan;3978000000
Badan Ketahanan Pangan;Pusat Ketersediaan dan Kerawanan Pangan;Belanja perjalanan biasa - luar negeri;Belanja Perjalanan;300000000
Badan Ketahanan Pangan;Pusat Ketersediaan dan Kerawanan Pangan;Belanja Perjalanan Dinas Dalam Kota;Belanja Perjalanan;104730000
Badan Ketahanan Pangan;Pusat Ketersediaan dan Kerawanan Pangan;Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Belanja Perjalanan;453250000
Badan Ketahanan Pangan;Pusat Ketersediaan dan Kerawanan Pangan;Belanja Perjalanan Dinas Paket Meeting Luar Kota;Belanja Perjalanan;3875350000
Badan Ketahanan Pangan;Pusat Ketersediaan dan Kerawanan Pangan;Belanja perjalanan lainnya - luar negeri;Belanja Perjalanan;143300000
Badan Ketahanan Pangan;Pusat Ketersediaan dan Kerawanan Pangan;Belanja Sewa;Belanja Barang;60000000
Badan Ketahanan Pangan;Pusat Ketersediaan dan Kerawanan Pangan;Honor Output Kegiatan;Belanja Pegawai;818920000
Badan Ketahanan Pangan;Pusat Penganekaragaman Konsumsi dan Keamanan Pangan;Belanja Bahan;Belanja Bahan;503212000
Badan Ketahanan Pangan;Pusat Penganekaragaman Konsumsi dan Keamanan Pangan;Belanja Barang Non Operasional Lainnya;Belanja Barang;3272650000
Badan Ketahanan Pangan;Pusat Penganekaragaman Konsumsi dan Keamanan Pangan;Belanja Barang Persediaan Barang Konsumsi;Belanja Barang;310300000
Badan Ketahanan Pangan;Pusat Penganekaragaman Konsumsi dan Keamanan Pangan;Belanja Jasa Konsultan;Belanja Jasa;100000000
Badan Ketahanan Pangan;Pusat Penganekaragaman Konsumsi dan Keamanan Pangan;Belanja Jasa Profesi;Belanja Jasa;308800000
Badan Ketahanan Pangan;Pusat Penganekaragaman Konsumsi dan Keamanan Pangan;Belanja Modal Peralatan dan Mesin;Belanja Modal;90000000
Badan Ketahanan Pangan;Pusat Penganekaragaman Konsumsi dan Keamanan Pangan;Belanja pengiriman surat dinas pos pusat;Belanja Jasa;9820000
Badan Ketahanan Pangan;Pusat Penganekaragaman Konsumsi dan Keamanan Pangan;Belanja perjalanan biasa;Belanja Perjalanan;2968500000
Badan Ketahanan Pangan;Pusat Penganekaragaman Konsumsi dan Keamanan Pangan;Belanja perjalanan biasa - luar negeri;Belanja Perjalanan;250000000
Badan Ketahanan Pangan;Pusat Penganekaragaman Konsumsi dan Keamanan Pangan;Belanja Perjalanan Dinas Dalam Kota;Belanja Perjalanan;99780000
Badan Ketahanan Pangan;Pusat Penganekaragaman Konsumsi dan Keamanan Pangan;Belanja Perjalanan Dinas Paket Meeting Dalam Kota;Belanja Perjalanan;9000000
Badan Ketahanan Pangan;Pusat Penganekaragaman Konsumsi dan Keamanan Pangan;Belanja Perjalanan Dinas Paket Meeting Luar Kota;Belanja Perjalanan;2055600000
Badan Ketahanan Pangan;Pusat Penganekaragaman Konsumsi dan Keamanan Pangan;Belanja Sewa;Belanja Barang;308000000
Badan Ketahanan Pangan;Pusat Penganekaragaman Konsumsi dan Keamanan Pangan;Honor Output Kegiatan;Belanja Pegawai;114338000
Badan Ketahanan Pangan;Sek. BKP;Belanja Bahan;Belanja Bahan;2164550000
Badan Ketahanan Pangan;Sek. BKP;Belanja Barang Non Operasional Lainnya;Belanja Barang;2964100000
Badan Ketahanan Pangan;Sek. BKP;Belanja Barang Operasional Lainnya;Belanja Barang;33500000
Badan Ketahanan Pangan;Sek. BKP;Belanja Barang Persediaan Barang Konsumsi;Belanja Barang;873431000
Badan Ketahanan Pangan;Sek. BKP;Belanja Biaya Pemeliharaan Gedung dan Bangunan Lainnya;Belanja Modal;402869000
Badan Ketahanan Pangan;Sek. BKP;Belanja Biaya Pemeliharaan Peralatan dan Mesin;Belanja Modal;2633580000
Badan Ketahanan Pangan;Sek. BKP;Belanja Gaji Pokok PNS;Belanja Pegawai;16282000000
Badan Ketahanan Pangan;Sek. BKP;Belanja Jasa Lainnya;Belanja Jasa;50000000
Badan Ketahanan Pangan;Sek. BKP;Belanja Jasa Profesi;Belanja Jasa;1228100000
Badan Ketahanan Pangan;Sek. BKP;Belanja Keperluan Perkantoran;Belanja Modal;1981280000
Badan Ketahanan Pangan;Sek. BKP;Belanja Langganan Telepon;Belanja Modal;156000000
Badan Ketahanan Pangan;Sek. BKP;Belanja Modal Gedung dan Bangunan;Belanja Modal;550000000
Badan Ketahanan Pangan;Sek. BKP;Belanja Modal Lainnya;Belanja Modal;318500000
Badan Ketahanan Pangan;Sek. BKP;Belanja Modal Peralatan dan Mesin;Belanja Modal;911000000
