kedeputian;direktorat;belanja;anggaran
Sekretariat Jenderal;Biro Hukum;Belanja Barang Operasional;1749702
Sekretariat Jenderal;Biro Hukum;Belanja Barang Non Operasional;14000000
Sekretariat Jenderal;Biro Hukum;Belanja Modal Non Operasional;305000
Sekretariat Jenderal;Biro Kerjasama Luar Negeri;Belanja Barang Operasional;5345000
Sekretariat Jenderal;Biro Kerjasama Luar Negeri;Belanja Barang Non Operasional;20187895
Sekretariat Jenderal;Biro Kerjasama Luar Negeri;Belanja Modal Non Operasional;357000
Sekretariat Jenderal;Biro Keuangan dan Perlengkapan ;Belanja Pegawai;959472564
Sekretariat Jenderal;Biro Keuangan dan Perlengkapan ;Belanja Barang Operasional;4128044
Sekretariat Jenderal;Biro Keuangan dan Perlengkapan ;Belanja Barang Non Operasional;33921315
Sekretariat Jenderal;Biro Keuangan dan Perlengkapan ;Belanja Modal Non Operasional;1000000
Sekretariat Jenderal;Biro Organisasi dan Kepegawaian;Belanja Barang Operasional;2402088
Sekretariat Jenderal;Biro Organisasi dan Kepegawaian;Belanja Barang Non Operasional;19650000
Sekretariat Jenderal;Biro Organisasi dan Kepegawaian;Belanja Modal Non Operasional;396800
Sekretariat Jenderal;Biro Perencanaan;Belanja Barang Operasional;4294484
Sekretariat Jenderal;Biro Perencanaan;Belanja Barang Non Operasional;36077821
Sekretariat Jenderal;Biro Perencanaan;Belanja Modal Non Operasional;635000
Sekretariat Jenderal;Pusat Data dan Informasi;Belanja Pegawai;8552228
Sekretariat Jenderal;Pusat Data dan Informasi;Belanja Barang Operasional;9767250
Sekretariat Jenderal;Pusat Data dan Informasi;Belanja Barang Non Operasional;30150000
Sekretariat Jenderal;Pusat Data dan Informasi;Belanja Modal Non Operasional;8777000
Sekretariat Jenderal;Pusat Perlindungan Varietas Tanaman dan Perizinan Pertanian;Belanja Pegawai;6300550
Sekretariat Jenderal;Pusat Perlindungan Varietas Tanaman dan Perizinan Pertanian;Belanja Barang Operasional;2346885
Sekretariat Jenderal;Pusat Perlindungan Varietas Tanaman dan Perizinan Pertanian;Belanja Barang Non Operasional;18613514
Sekretariat Jenderal;Pusat Perlindungan Varietas Tanaman dan Perizinan Pertanian;Belanja Modal Non Operasional;13453000
Sekretariat Jenderal;Pusat Sosial Ekonomi;Belanja Pegawai;15080816
Sekretariat Jenderal;Pusat Sosial Ekonomi;Belanja Barang Operasional;3755592
Sekretariat Jenderal;Pusat Sosial Ekonomi;Belanja Barang Non Operasional;12550150
Sekretariat Jenderal;Pusat Sosial Ekonomi;Belanja Modal Non Operasional;3287850
Sekretariat Jenderal;Pusat Data dan Informasi;Belanja Pegawai;6852813
Sekretariat Jenderal;Pusat Data dan Informasi;Belanja Barang Operasional;5451164
Sekretariat Jenderal;Pusat Data dan Informasi;Belanja Barang Non Operasional;8690230
Sekretariat Jenderal;Pusat Data dan Informasi;Belanja Modal Non Operasional;15170469
Sekretariat Jenderal;Biro Umum dan Pengadaan;Belanja Barang Operasional;52431287
Sekretariat Jenderal;Biro Umum dan Pengadaan;Belanja Barang Non Operasional;90595904
Sekretariat Jenderal;Biro Umum dan Pengadaan;Belanja Modal Non Operasional;27343015
Sekretariat Jenderal;Biro Hubungan Masyarakat dan Informasi Publik;Belanja Barang Operasional;1800609
Sekretariat Jenderal;Biro Hubungan Masyarakat dan Informasi Publik;Belanja Barang Non Operasional;46245661
Sekretariat Jenderal;Biro Hubungan Masyarakat dan Informasi Publik;Belanja Modal Non Operasional;953730
Inspektorat Jenderal;Inspektorat I;Belanja Barang Non Operasional;11435100
Inspektorat Jenderal;Inspektorat II;Belanja Barang Non Operasional;10972300
Inspektorat Jenderal;Inspektorat III;Belanja Barang Non Operasional;10195600
Inspektorat Jenderal;Inspektorat IV;Belanja Barang Non Operasional;10135800
Inspektorat Jenderal;Inspektorat Investigasi;Belanja Barang Non Operasional;11044800
Inspektorat Jenderal;Sekretariat Itjen;Belanja Pegawai;23727000
Inspektorat Jenderal;Sekretariat Itjen;Belanja Barang Operasional;3649800
Inspektorat Jenderal;Sekretariat Itjen;Belanja Barang Non Operasional;13122710
Inspektorat Jenderal;Sekretariat Itjen;Belanja Modal Non Operasional;2850890
Ditjen Tanaman Pangan;Direktorat Aneka Kacang dan Umbi;Belanja Barang Non Operasional;990100000
Ditjen Tanaman Pangan;Direktorat Aneka Kacang dan Umbi;Belanja Modal Non Operasional;500000
Ditjen Tanaman Pangan;Direktorat Serealia;Belanja Barang Non Operasional;4009540145
Ditjen Tanaman Pangan;Direktorat Serealia;Belanja Modal Non Operasional;690505
Ditjen Tanaman Pangan;Direktorat Perbenihan Tanaman Pangan;Belanja Barang Non Operasional;112639000
Ditjen Tanaman Pangan;Direktorat Perbenihan Tanaman Pangan;Belanja Modal Non Operasional;361000
Ditjen Tanaman Pangan;Direktorat Perlindungan Tanaman Pangan;Belanja Barang Non Operasional;219445084
Ditjen Tanaman Pangan;Direktorat Perlindungan Tanaman Pangan;Belanja Modal Non Operasional;29408570
Ditjen Tanaman Pangan;Sekretariat Direktorat Jenderal;Belanja Pegawai;45524107
Ditjen Tanaman Pangan;Sekretariat Direktorat Jenderal;Belanja Barang Operasional;12881172
Ditjen Tanaman Pangan;Sekretariat Direktorat Jenderal;Belanja Barang Non Operasional;229519322
Ditjen Tanaman Pangan;Sekretariat Direktorat Jenderal;Belanja Modal Non Operasional;4824100
Ditjen Tanaman Pangan;Balai Besar Pengembangan Pengujian Mutu Benih Tanaman Pangan dan Hortikultura;Belanja Pegawai;4676625
Ditjen Tanaman Pangan;Balai Besar Pengembangan Pengujian Mutu Benih Tanaman Pangan dan Hortikultura;Belanja Barang Operasional;1825396
Ditjen Tanaman Pangan;Balai Besar Pengembangan Pengujian Mutu Benih Tanaman Pangan dan Hortikultura;Belanja Barang Non Operasional;4504769
Ditjen Tanaman Pangan;Balai Besar Pengembangan Pengujian Mutu Benih Tanaman Pangan dan Hortikultura;Belanja Modal Non Operasional;493210
Ditjen Tanaman Pangan;Balai Besar Peramalan Organisme Pengganggu Tumbuhan;Belanja Pegawai;5964268
Ditjen Tanaman Pangan;Balai Besar Peramalan Organisme Pengganggu Tumbuhan;Belanja Barang Operasional;1793432
Ditjen Tanaman Pangan;Balai Besar Peramalan Organisme Pengganggu Tumbuhan;Belanja Barang Non Operasional;6461800
Ditjen Tanaman Pangan;Balai Besar Peramalan Organisme Pengganggu Tumbuhan;Belanja Modal Non Operasional;1143346
Ditjen Tanaman Pangan;Direktorat Pengolahan dan Pemasaran Hasil Tanaman Pangan;Belanja Barang Non Operasional;804046500
Ditjen Tanaman Pangan;Direktorat Pengolahan dan Pemasaran Hasil Tanaman Pangan;Belanja Modal Non Operasional;622000
Ditjen Hortikultura;Direktorat Sayuran dan Tanaman Obat;Belanja Barang Non Operasional;936612202
Ditjen Hortikultura;Direktorat Perbenihan Hortikultura;Belanja Barang Non Operasional;132963281
Ditjen Hortikultura;Direktorat Perlindungan Hortikultura;Belanja Barang Non Operasional;58000000
Ditjen Hortikultura;Sekretariat Direktorat Jenderal;Belanja Pegawai;28983605
Ditjen Hortikultura;Sekretariat Direktorat Jenderal;Belanja Barang Operasional;13305555
Ditjen Hortikultura;Sekretariat Direktorat Jenderal;Belanja Barang Non Operasional;77776796
Ditjen Hortikultura;Sekretariat Direktorat Jenderal;Belanja Modal Non Operasional;3600660
Ditjen Hortikultura;Direktorat Buah dan Florikultura;Belanja Barang Non Operasional;80909881
Ditjen Hortikultura;Direktorat Pengolahan dan Pemasaran Hasil Hortikultura;Belanja Barang Non Operasional;23809000
Ditjen Perkebunan;Direktorat Tanaman Tahunan dan Penyegar;Belanja Barang Non Operasional;338511489
Ditjen Perkebunan;Direktorat Perlindungan Perkebunan;Belanja Barang Non Operasional;91409858
Ditjen Perkebunan;Sekretariat Direktorat Jenderal;Belanja Pegawai;32655412
