kedeputian;direktorat;belanja;anggaran
Sekretariat Jenderal;Biro Umum;Gaji dan Tunjangan PNS;29336630000
Sekretariat Jenderal;Biro Umum;Gaji dan Tunjangan Pegawai Non PNS;231000000
Sekretariat Jenderal;Biro Umum;Lembur;6940386000
Sekretariat Jenderal;Biro Umum;Tunj. Khusus & Pegawai Transito;27000000000
Sekretariat Jenderal;Biro Hukum;Barang Operasional;554390000
Sekretariat Jenderal;Biro SDM;Barang Operasional;583790000
Sekretariat Jenderal;Biro Keuangan;Barang Operasional;1020721000
Sekretariat Jenderal;Biro Perencanaan;Barang Operasional;741145000
Sekretariat Jenderal;Biro Umum;Barang Operasional;36103035000
Sekretariat Jenderal;Biro Kerjasama;Barang Operasional;1872612000
Sekretariat Jenderal;Pusdatin;Barang Operasional;13736863000
Sekretariat Jenderal;LPMUKP;Barang Operasional;8307040000
Sekretariat Jenderal;Biro Hukum;Barang Non Operasional;2544559000
Sekretariat Jenderal;Biro SDM;Barang Non Operasional;22359352000
Sekretariat Jenderal;Biro Keuangan;Barang Non Operasional;2942805000
Sekretariat Jenderal;Biro Perencanaan;Barang Non Operasional;6960494000
Sekretariat Jenderal;Biro Umum;Barang Non Operasional;9635175000
Sekretariat Jenderal;Biro Kerjasama;Barang Non Operasional;1598509000
Sekretariat Jenderal;Pusdatin;Barang Non Operasional;26201052000
Sekretariat Jenderal;LPMUKP;Barang Non Operasional;1703155000
Sekretariat Jenderal;Biro Hukum;Barang Persediaan;1200649000
Sekretariat Jenderal;Biro SDM;Barang Persediaan;237250000
Sekretariat Jenderal;Biro Keuangan;Barang Persediaan;1911530000
Sekretariat Jenderal;Biro Perencanaan;Barang Persediaan;794200000
Sekretariat Jenderal;Biro Umum;Barang Persediaan;4361171000
Sekretariat Jenderal;Biro Kerjasama;Barang Persediaan;793500000
Sekretariat Jenderal;Pusdatin;Barang Persediaan;510000000
Sekretariat Jenderal;LPMUKP;Barang Persediaan;394400000
Sekretariat Jenderal;Biro Hukum;Jasa;3645418000
Sekretariat Jenderal;Biro SDM;Jasa;3895710000
Sekretariat Jenderal;Biro Keuangan;Jasa;1496300000
Sekretariat Jenderal;Biro Perencanaan;Jasa;4658748000
Sekretariat Jenderal;Biro Umum;Jasa;41353290000
Sekretariat Jenderal;Biro Kerjasama;Jasa;5782866000
Sekretariat Jenderal;Pusdatin;Jasa;5292200000
Sekretariat Jenderal;LPMUKP;Jasa;1241600000
Sekretariat Jenderal;Biro Hukum;Pemeliharaan;310280000
Sekretariat Jenderal;Biro SDM;Pemeliharaan;270408000
Sekretariat Jenderal;Biro Keuangan;Pemeliharaan;324610000
Sekretariat Jenderal;Biro Perencanaan;Pemeliharaan;519780000
Sekretariat Jenderal;Biro Umum;Pemeliharaan;32548022000
Sekretariat Jenderal;Biro Kerjasama;Pemeliharaan;335890000
Sekretariat Jenderal;Pusdatin;Pemeliharaan;1325950000
Sekretariat Jenderal;LPMUKP;Pemeliharaan;369540000
Sekretariat Jenderal;Biro Hukum;Perjalanan Dalam Negeri;9177794000
Sekretariat Jenderal;Biro SDM;Perjalanan Dalam Negeri;3881050000
Sekretariat Jenderal;Biro Keuangan;Perjalanan Dalam Negeri;7874490000
Sekretariat Jenderal;Biro Perencanaan;Perjalanan Dalam Negeri;9775633000
Sekretariat Jenderal;Biro Umum;Perjalanan Dalam Negeri;13950700000
Sekretariat Jenderal;Biro Kerjasama;Perjalanan Dalam Negeri;5167479000
Sekretariat Jenderal;Pusdatin;Perjalanan Dalam Negeri;10531425000
