SEKRETARIAT JENDERAL                                                                                                                                                                                    ;Biro Hukum;Biro SDM;Biro Keuangan;Biro Perencanaan;Biro Umum;Biro Kerjasama;Pusdatin;LPMUKP;Total
5111  Belanja Gaji dan Tunjangan PNS                                                                           ;;;;;29336630000;;;;29336630000
5115  Belanja Gaji dan Tunjangan Pegawai Non PNS                                                               ;;;;;231000000;;;;231000000
5122  Belanja Lembur                                                                                           ;;;;;6940386000;;;;6940386000
5124  Belanja Tunj. Khusus & Belanja Pegawai Transito                                                          ;;;;;27000000000;;;;27000000000
5211  Belanja Barang Operasional                                                                               ;554390000;583790000;1020721000;741145000;36103035000;1872612000;13736863000;8307040000;62919596000
5212  Belanja Barang Non Operasional                                                                           ;2544559000;22359352000;2942805000;6960494000;9635175000;1598509000;26201052000;1703155000;73945101000
5218  Belanja Barang Persediaan                                                                                ;1200649000;237250000;1911530000;794200000;4361171000;793500000;510000000;394400000;10202700000
5221  Belanja Jasa                                                                                             ;3645418000;3895710000;1496300000;4658748000;41353290000;5782866000;5292200000;1241600000;67366132000
5231  Belanja Pemeliharaan                                                                                     ;310280000;270408000;324610000;519780000;32548022000;335890000;1325950000;369540000;36004480000
5241  Belanja Perjalanan Dalam Negeri                                                                          ;9177794000;3881050000;7874490000;9775633000;13950700000;5167479000;10531425000;6465350000;66823921000
5242  Belanja Perjalanan Luar Negeri                                                                           ;450000000;280000000;300000000;300000000;7800000000;4805000000;200000000;;14135000000
5321  Belanja Modal Peralatan dan Mesin                                                                        ;656000000;556800000;929544000;250000000;14717415000;535394000;14392450000;884550000;32922153000
5331  Belanja Modal Gedung dan Bangunan                                                                        ;;;;;10601790000;;400000000;;11001790000
5361  Belanja Modal Fisik Lainnya                                                                              ;;;;;;;13310060000;;13310060000
;;;;;;;;;
INSPEKTORAT JENDERAL                                                                                                                                                                                    ;INSPEKTORAT I;INSPEKTORAT II;INSPEKTORAT III;INSPEKTORAT IV;INSPEKTORAT V;SET ITJEN;Total;;
5111  Belanja Gaji dan Tunjangan PNS                                                                           ;;;;;;15282626000;15282626000;;
5122  Belanja Lembur                                                                                           ;;;;;;66432000;66432000;;
5124  Belanja Tunj. Khusus & Belanja Pegawai Transito                                                          ;;;;;;12119877000;12119877000;;
5211  Belanja Barang Operasional                                                                               ;;;;;;1599180000;1599180000;;
5212  Belanja Barang Non Operasional                                                                           ;150970000;159610000;153130000;161050000;162900000;2719451000;3507111000;;
5218  Belanja Barang Persediaan                                                                                ;;;;;;263760000;263760000;;
5221  Belanja Jasa                                                                                             ;118100000;118100000;118100000;118100000;113600000;756110000;1342110000;;
5231  Belanja Pemeliharaan                                                                                     ;;;;;;961160000;961160000;;
5241  Belanja Perjalanan Dalam Negeri                                                                          ;6204178000;7139405000;6357510000;6538872000;6520946000;9688741000;42449652000;;
5242  Belanja Perjalanan Luar Negeri                                                                           ;;;;;;50000000;50000000;;
5321  Belanja Modal Peralatan dan Mesin                                                                        ;;;;;;1213461000;1213461000;;
;;;;;;;;;
DITJEN PERIKANAN TANGKAP                                                                                                                                                                                ;COREMAP-CTI PROJECT ;Setditjen                                                                                                                                                 ;DIREKTORAT PELABUHAN PERIKANAN ;DIREKTORAT KAPI; DIREKTORAT PENGELOLAAN SDI;DIREKTORAT PERIZINAN DAN KENELAYANAN                                                                                                                                                                    ;DIREKTORAT KENELAYANAN                                                                                                                    ;Total;
